QID,Question,OptionA,OptionB,OptionC,OptionD,Answer,Marks
Q0022,Which of the following is an objective of RERA?,Standardization,Transparency,Accountability,All of the above,D,2
Q0023,RERA helps reduce:,Consumer disputes,Rainfall,Income tax,Fuel prices,A,2
Q0024,Information published on the RERA website should be:,Misleading,Incomplete,Accurate and updated,Confidential,C,2
Q0025,Which document generally contains details of a registered project?,Passport,RERA Registration Details,Driving Licence,PAN Card,B,2
Q0026,Homebuyers benefit because RERA:,Promotes transparency,Ensures disclosures,Provides grievance redressal,All of the above,D,2
Q0027,Which stakeholder markets or facilitates the sale of property?,Architect,Real Estate Agent,Contractor,Auditor,B,2
Q0028,One major purpose of RERA is:,Protect buyers,Increase brokerage,Increase taxes,Reduce bank loans,A,2
Q0029,The RERA Act encourages:,Fair business practices,Misrepresentation,Hidden clauses,Cash-only transactions,A,2
Q0030,A certified real estate agent should:,Provide truthful information,Mislead buyers,Conceal approvals,Give false commitments,A,2
Q0031,What is the primary purpose of the RERA Act?,To increase land prices,To regulate and promote the real estate sector,To reduce property tax,To regulate banks,B,2
Q0032,Which of the following is one of the key objectives of RERA?,Transparency,Accountability,Consumer Protection,All of the above,D,2
Q0033,RERA makes it compulsory for eligible real estate projects to:,Obtain a passport,Register with the RERA Authority,Register with RBI,Register with SEBI,B,2
Q0034,Which stakeholder develops the real estate project?,Allottee,Promoter,Advocate,Bank,B,2
Q0035,The person who purchases an apartment or plot is called:,Broker,Contractor,Allottee,Consultant,C,2
Q0036,Which of the following promotes transparency under RERA?,Hiding project approvals,Publishing project details,Verbal promises only,Delaying possession,B,2
Q0037,RERA helps in reducing:,Property disputes,Inflation,Petrol prices,Income tax,A,2
Q0038,Which authority administers RERA in Maharashtra?,RBI,MahaRERA,SEBI,NITI Aayog,B,2
Q0039,A Real Estate Agent should:,Mislead buyers,Provide correct project information,Hide approvals,Give false possession dates,B,2
Q0040,Which stakeholder benefits most from transparency?,Homebuyers,Builders only,Contractors only,Banks only,A,2
Q0041,RERA promotes:,Ethical business practices,Unfair trade practices,Hidden charges,False advertisements,A,2
Q0042,Which Act governs the real estate sector?,Companies Act,RERA Act,Banking Regulation Act,GST Act,B,2
Q0043,"Before RERA, buyers commonly faced:",Project delays,Lack of transparency,Misleading advertisements,All of the above,D,2
Q0044,RERA increases confidence among:,Homebuyers,Investors,Developers,All of the above,D,2
Q0045,Which of these is NOT a goal of RERA?,Transparency,Accountability,Consumer Protection,Increasing property prices,D,2
Q0046,Real estate agents are expected to:,Follow RERA provisions,Ignore legal requirements,Make false commitments,Conceal information,A,2
Q0047,Which stakeholder acts as an intermediary in property transactions?,Promoter,Real Estate Agent,Architect,Engineer,B,2
Q0048,The information uploaded on the RERA portal should be:,Accurate,Updated,Transparent,All of the above,D,2
Q0049,The RERA Act encourages:,Fair competition,Professionalism,Consumer confidence,All of the above,D,2
Q0050,A certified Real Estate Agent should always:,Act honestly and ethically,Hide project defects,Give false assurances,Charge unauthorized fees,A,2
Q0051,RERA aims to improve:,Transparency,Accountability,Consumer confidence,All of the above,D,2
Q0052,Which authority regulates real estate in Maharashtra?,RBI,MahaRERA,SEBI,IRDAI,B,2
Q0053,A promoter must register an applicable project:,"Before advertising, marketing, booking or selling",After project completion,After possession,After sale deed registration,A,2
Q0054,A real estate agent should:,Misrepresent project details,Provide truthful information,Hide approvals,Guarantee profits,B,2
Q0055,The primary beneficiary of RERA is:,Homebuyer,Builder only,Contractor,Bank,A,2
Q0056,Transparency means:,Giving complete and correct information,Hiding approvals,Avoiding disclosures,Verbal assurances only,A,2
Q0057,Which of the following is a stakeholder under RERA?,Promoter,Allottee,Real Estate Agent,All of the above,D,2
Q0058,A registered project receives:,RERA Registration Number,PAN Number,GST Number,CIN Number,A,2
Q0059,RERA encourages:,Fair dealings,Professional ethics,Timely disclosures,All of the above,D,2
Q0060,Which document should buyers verify?,RERA Registration Details,Passport,Driving Licence,Election Card,A,2
Q0061,Which stakeholder sells or develops the project?,Promoter,Allottee,Tenant,Engineer,A,2
Q0062,The role of a real estate agent is to:,Facilitate transactions,Hide information,Approve projects,Sanction loans,A,2
Q0063,RERA promotes:,Standardized practices,Consumer protection,Transparency,All of the above,D,2
Q0064,The official portal of MahaRERA contains:,Project details,Agent details,Complaint information,All of the above,D,2
Q0065,Which stakeholder pays consideration for a property?,Allottee,Promoter,Architect,Contractor,A,2
Q0066,A real estate agent should maintain:,Honesty,Integrity,Professional conduct,All of the above,D,2
Q0067,One objective of RERA is:,Speedy dispute resolution,Increase taxes,Increase stamp duty,Reduce registrations,A,2
Q0068,Project information should be:,Accurate,Updated,Publicly available as required,All of the above,D,2
Q0069,Which of these improves buyer confidence?,Transparent disclosures,Hidden clauses,False promises,Oral commitments only,A,2
Q0070,The RERA Act primarily deals with:,Real Estate,Banking,Insurance,Agriculture,A,2
Q0071,An allottee should:,Read the agreement carefully,Ignore project details,Pay without verification,Depend only on verbal assurances,A,2
Q0072,Which of the following supports ethical real estate practices?,Transparency,Accountability,Fair dealing,All of the above,D,2
Q0073,RERA was enacted to bring greater:,Discipline,Transparency,Accountability,All of the above,D,2
Q0074,Buyers should always verify:,Project registration,Approvals,Details available on the MahaRERA portal,All of the above,D,2
Q0075,Which quality is essential for a certified real estate agent?,Professional ethics,Misrepresentation,False advertising,Concealment of facts,A,2
Q0076,What does MahaRERA stand for?,Maharashtra Real Estate Regulatory Authority,Maharashtra Real Estate Registration Authority,Maharashtra Realty Registration Agency,Maharashtra Real Estate Revenue Authority,A,2
Q0077,MahaRERA has been established under which Act?,"Companies Act, 2013","RERA Act, 2016",Maharashtra Land Revenue Code,Transfer of Property Act,B,2
Q0078,The primary role of MahaRERA is to:,Regulate and promote the real estate sector,Collect income tax,Register companies,Approve bank loans,A,2
Q0079,MahaRERA maintains an online portal mainly to:,Display movie tickets,Provide project and agent information,Issue driving licences,Register vehicles,B,2
Q0080,Which of the following can be searched on the MahaRERA portal?,Registered projects,Registered real estate agents,Orders passed by MahaRERA,All of the above,D,2
Q0081,MahaRERA promotes:,Transparency,Accountability,Consumer protection,All of the above,D,2
Q0082,"If a buyer wants to verify whether a project is registered, the buyer should:",Ask neighbours,Check the MahaRERA portal,Read newspaper advertisements only,Depend on verbal assurances,B,2
Q0083,A real estate agent should always verify:,Whether the project is registered with MahaRERA (where registration is required),The buyer's income tax return,The promoter's passport,None of the above,A,2
Q0084,MahaRERA helps in resolving:,Consumer complaints under its jurisdiction,Passport issues,Income tax disputes,Motor vehicle disputes,A,2
Q0085,Which of the following is published on the MahaRERA portal?,Project registration details,Agent registration details,Orders and notices,All of the above,D,2
Q0086,Transparency under MahaRERA helps:,Homebuyers,Promoters,Real estate agents,All of the above,D,2
Q0087,MahaRERA encourages promoters to:,Make proper disclosures,Hide approvals,Delay updates,Avoid compliance,A,2
Q0088,A registered real estate agent receives:,A MahaRERA Registration Number,A PAN card,A GST certificate automatically,A bank licence,A,2
Q0089,Buyers should verify project details:,Before booking,After possession,After resale,Never,A,2
Q0090,MahaRERA functions as:,A regulatory authority for real estate in Maharashtra,A commercial bank,A stock exchange,A municipal corporation,A,2
Q0091,One objective of MahaRERA is:,Increase transparency,Promote fair practices,Protect consumers,All of the above,D,2
Q0092,Which stakeholder is required to comply with RERA provisions?,Promoter,Real Estate Agent,"Both A and B, as applicable",None,C,2
Q0093,Information available on the MahaRERA portal should be:,Accurate,Updated,As required by law,All of the above,D,2
Q0094,MahaRERA aims to improve confidence in:,The real estate sector,Banking,Agriculture,Railways,A,2
Q0095,"If a buyer has a dispute covered by RERA, they may:",Seek remedies under the mechanisms provided by the Act,Go to the Passport Office,Apply to RBI,Contact the Election Commission,A,2
Q0096,A real estate agent should guide buyers to:,Verify project information,Ignore approvals,Depend on oral promises,Skip documentation,A,2
Q0097,MahaRERA improves:,Accountability,Professionalism,Transparency,All of the above,D,2
Q0098,Which website should be used to verify a MahaRERA registration?,The official MahaRERA website,A random social media page,A shopping website,Any blog,A,2
Q0099,The information on the MahaRERA portal is useful for:,Homebuyers,Real estate agents,Promoters,All of the above,D,2
Q0100,The best practice before facilitating the sale of a property is to:,"Verify the project's registration status and details, where applicable",Rely only on verbal statements,Ignore legal documents,Skip verification,A,2
Q0101,A person who facilitates the sale or purchase of apartments or plots for consideration is generally known as:,Architect,Structural Engineer,Real Estate Agent,Surveyor,C,2
Q0102,A registered real estate agent should display their registration number:,Only on office signage,In advertisements and documents where required by applicable rules,Only during renewal,Only when requested by the buyer,B,2
Q0103,"If a real estate agent's registration expires, the agent should:",Continue business without renewal,Apply for renewal as per the prescribed procedure,Use another agent's registration number,Register as a promoter instead,B,2
Q0104,A real estate agent should maintain records primarily to:,Increase brokerage,Support transparency and regulatory compliance,Reduce taxes,Avoid customer interaction,B,2
Q0105,"If a buyer asks whether a project is registered, the agent should:",Guess the answer,Verify the registration status before advising the buyer,Ignore the question,Tell the buyer to trust the promoter,B,2
Q0106,Which of the following best reflects professional conduct?,Exaggerating project features,Making promises without authority,Providing factual and verifiable information,Hiding material facts,C,2
Q0107,"Before advertising a project that requires registration, an agent should:",Verify that the required registration requirements have been met,Start marketing immediately,Ignore the registration status,Depend only on newspaper advertisements,A,2
Q0108,A buyer asks about carpet area. The agent should:,Explain it using the definition and project documents,Estimate the area verbally,Mention only the super built-up area,Avoid answering,A,2
Q0109,"If an agent discovers incorrect information in a brochure, the agent should:",Continue using it,Inform the promoter and avoid sharing incorrect information,Hide the mistake,Destroy all records,B,2
Q0110,A registered real estate agent should primarily build a reputation through:,Misleading discounts,Honest dealings and compliance,Pressure selling,Hidden charges,B,2
Q0111,"During a site visit, an agent should:",Show only positive aspects,Provide balanced and accurate information,Avoid discussing approvals,Promise possession dates without confirmation,B,2
Q0112,Which document is most useful when explaining a project's approved details?,Registered project information and approved documents,Social media posts,WhatsApp forwards,Newspaper gossip,A,2
Q0113,"If a buyer asks a legal question beyond the agent's expertise, the agent should:",Invent an answer,Recommend consulting the appropriate professional or authority,Ignore the buyer,Change the topic,B,2
Q0114,A real estate agent should avoid:,Transparent communication,Document verification,Misrepresentation of project details,Compliance with regulations,C,2
Q0115,Which practice strengthens consumer trust?,Clear communication,Concealing defects,False urgency,Misleading advertisements,A,2
Q0116,"If project information is updated by the promoter, the agent should:",Continue using old information,Update the information shared with prospective buyers,Ignore the update,Remove all advertisements,B,2
Q0117,The best approach when a buyer requests copies of available project documents is to:,Refuse without reason,Share the documents that may legally be provided or direct the buyer to the official source,Ask for extra brokerage first,Delay indefinitely,B,2
Q0118,An ethical real estate agent should:,Respect confidentiality where appropriate,Share buyers' personal details freely,Pressure buyers into quick decisions,Hide important information,A,2
Q0119,The long-term success of a real estate agent depends most on:,Professional reputation and client trust,Aggressive marketing alone,Offering unrealistic discounts,Making unverified claims,A,2
Q0120,Which of the following best describes the role of a certified real estate agent?,Facilitating transactions lawfully and ethically,Acting as a bank,Approving building plans,Issuing occupancy certificates,A,2
Q0121,"Which activity generally requires registration as a real estate agent under RERA, where applicable?",Selling your own residential house,Facilitating the sale of units in registered real estate projects for consideration,Working as a civil engineer,Preparing architectural drawings,B,2
Q0122,The primary purpose of registering a real estate agent is to:,Increase brokerage rates,Promote accountability and transparency,Eliminate all property disputes,Reduce stamp duty,B,2
Q0123,A buyer asks for the project's MahaRERA registration number. The agent should:,Refuse to disclose it,Provide or help verify the correct registration details,Give an estimated number,Ask the buyer to search independently without assistance,B,2
Q0124,Which quality is most important for a certified real estate agent?,Aggressive marketing,Legal awareness,Hidden negotiations,High commissions,B,2
Q0125,"If an agent advertises amenities that are not part of the approved project, the agent is:",Acting professionally,Misrepresenting the project,Improving marketing,Following best practices,B,2
Q0126,"Before introducing a buyer to a project, the agent should first verify:",The buyer's social media account,"The project's legal and registration details, where applicable",The buyer's vehicle registration,The promoter's family details,B,2
Q0127,"If a promoter changes the approved layout, the agent should:",Continue using outdated brochures,Inform prospective buyers using the latest approved information,Ignore the changes,Avoid discussing the layout,B,2
Q0128,Which document helps an agent explain the project's timeline?,Approved project disclosures and documents,Electricity bill,Property tax receipt of another property,Aadhaar card,A,2
Q0129,"When a buyer requests clarification on possession timelines, the agent should:",Promise an earlier date to secure the booking,Refer to the officially disclosed project information,Guess the expected date,Avoid answering,B,2
Q0130,An agent should avoid accepting instructions that require:,Compliance with the law,Misleading or false representations,Proper documentation,Buyer assistance,B,2
Q0131,Which action best protects the buyer's interests?,Encouraging document verification,Discouraging questions,Rushing the booking,Withholding important information,A,2
Q0132,A real estate agent should maintain professionalism by:,Responding honestly to buyer queries,Giving legal opinions beyond their expertise,Hiding project limitations,Ignoring buyer concerns,A,2
Q0133,Which of the following is an example of ethical marketing?,Publishing verified project information,Creating false scarcity,Making unrealistic return promises,Hiding material facts,A,2
Q0134,"If a buyer asks for a receipt after making a payment to the promoter, the agent should:",Advise the buyer to obtain proper documentation for the payment,Tell the buyer it is unnecessary,Delay the request,Ignore the buyer,A,2
Q0135,Which action helps reduce future disputes?,Clear written communication,Verbal assurances only,Ignoring documentation,Making assumptions,A,2
Q0136,"If an agent is unsure about a legal provision, the best approach is to:",Guess the answer,Verify the information before advising the client,Provide personal opinions as facts,Avoid further discussion,B,2
Q0137,An ethical agent should treat all buyers:,Equally and fairly,Based only on commission potential,According to personal preference,Based on the promoter's instructions alone,A,2
Q0138,Which skill is essential for a successful real estate agent?,Effective communication,Spreading rumors,Concealing documents,Avoiding follow-up,A,2
Q0139,"Before a buyer signs any document, the agent should encourage the buyer to:",Read and understand the document,Sign immediately,Ignore the terms,Leave the document blank,A,2
Q0140,Which of the following best reflects transparency?,Sharing complete and accurate information,Omitting important conditions,Providing selective facts,Making verbal commitments only,A,2
Q0141,An agent should update buyers when:,Important project information changes,Only if the buyer asks,Never,After possession,A,2
Q0142,Which of the following helps build long-term client relationships?,Honest advice,False promises,Hidden costs,Misleading advertisements,A,2
Q0143,A certified agent should encourage buyers to:,Verify documents before making decisions,Skip verification,Depend only on advertisements,Ignore official records,A,2
Q0144,Which practice demonstrates accountability?,Maintaining accurate transaction records,Destroying documents after each sale,Avoiding written communication,Refusing to answer buyer questions,A,2
Q0145,"If a buyer identifies a discrepancy in project information, the agent should:",Investigate and clarify the issue,Ignore the concern,Blame the buyer,Hide the discrepancy,A,2
Q0146,A professional agent should avoid:,Conflicts of interest,Continuous learning,Proper disclosures,Ethical conduct,A,2
Q0147,Which factor contributes most to an agent's credibility?,Consistent ethical behavior,High advertising expenses,Frequent discounts,Large office space,A,2
Q0148,Buyers are more likely to trust an agent who:,Provides evidence-based information,Makes exaggerated claims,Avoids documentation,Gives guaranteed investment returns,A,2
Q0149,A real estate agent should regularly improve knowledge of:,Applicable real estate laws and regulations,Movie reviews,Fashion trends,Cricket statistics,A,2
Q0150,The ultimate responsibility of a certified real estate agent is to:,Conduct business ethically and in compliance with applicable laws,Maximize commission at any cost,Sell every project regardless of compliance,Ignore buyer concerns,A,2
Q0151,A promoter informs an agent that the project registration has expired but asks the agent to continue marketing. What should the agent do?,Continue marketing until instructed otherwise.,Refuse to market the project until legal compliance is ensured.,Market only to previous customers.,Remove only online advertisements.,B,2
Q0152,A buyer asks whether a project has received all statutory approvals. The most appropriate response is:,"""It should be fine.""",Verify the approved documents and official disclosures before answering.,Assume approvals are complete.,Tell the buyer approvals are not important.,B,2
Q0153,Which action best reflects due diligence by a real estate agent?,Verifying project information before marketing.,Trusting only verbal assurances.,Avoiding document checks.,Relying only on advertisements.,A,2
Q0154,"A buyer asks for the carpet area, but the brochure only highlights the super built-up area. The agent should:",Explain the difference and refer to the official documents.,Mention only the larger area.,Avoid the topic.,Estimate the carpet area.,A,2
Q0155,Which of the following is an example of an unethical sales practice?,Explaining payment schedules.,Disclosing project approvals.,Guaranteeing fixed investment returns without basis.,Sharing official project information.,C,2
Q0156,"If an agent discovers that a promotional banner contains incorrect pricing, the agent should:",Continue using it until it is replaced.,Stop using it and ensure the correct information is communicated.,Ignore the issue.,Tell buyers that the price may change later.,B,2
Q0157,A professional real estate agent should keep records of:,"Client communications and transaction-related documents, where appropriate.",Only commission receipts.,Personal expenses only.,None of the above.,A,2
Q0158,Which of the following best protects an agent from future disputes?,Written communication and proper documentation.,Oral commitments only.,Verbal discounts without records.,Informal agreements.,A,2
Q0159,A buyer asks whether possession is guaranteed on a particular date. The agent should:,Guarantee the date.,Refer only to the officially disclosed schedule and avoid making unauthorized promises.,Promise early possession.,Ignore the question.,B,2
Q0160,"If a project's registration details are updated on the official portal, the agent should:",Continue using old brochures.,Update all information shared with buyers.,Ignore the update.,Wait until the project is completed.,B,2
Q0161,What is the best way for an agent to handle a buyer's complaint about missing information?,Dismiss the complaint.,Help obtain accurate information from the appropriate source.,Tell the buyer to search online.,Ignore future calls.,B,2
Q0162,Which document should an agent encourage a buyer to read carefully before signing?,The agreement and related project documents.,Electricity bill.,Newspaper advertisement.,Visiting card.,A,2
Q0163,Which action is most consistent with professional ethics?,Treating every buyer fairly.,Giving preference only to high-commission buyers.,Concealing project limitations.,Making exaggerated claims.,A,2
Q0164,"If an agent receives updated project information from the promoter, the agent should:",Keep it confidential from buyers.,Share the updated information accurately where appropriate.,Ignore the update.,Continue using outdated information.,B,2
Q0165,Which statement is TRUE about transparency?,Buyers should receive accurate and material project information.,Only builders need information.,Documents should remain confidential from buyers in all cases.,Transparency is optional.,A,2
Q0166,Which of the following improves consumer confidence the most?,Accurate disclosures.,High-pressure sales.,Hidden clauses.,False urgency.,A,2
Q0167,A real estate agent should avoid:,Conflicts of interest that could affect professional judgment.,Learning about new regulations.,Maintaining records.,Assisting buyers.,A,2
Q0168,"If a buyer asks for clarification beyond the agent's expertise, the agent should:",Guess the answer.,Recommend consulting the relevant professional or authority.,Change the subject.,Refuse to respond.,B,2
Q0169,Which quality is most valuable for long-term success as a real estate agent?,Trustworthiness.,Fast talking.,Aggressive sales pressure.,Unrealistic promises.,A,2
Q0170,"Before accepting promotional material from a promoter, an agent should:",Verify that the information is consistent with official project details.,Distribute it immediately.,Ignore the contents.,Modify the material independently.,A,2
Q0171,A buyer requests a copy of the approved layout plan. The agent should:,"Help the buyer access the officially available document, where permitted.",Refuse without explanation.,Create a sketch instead.,Provide an unrelated plan.,A,2
Q0172,Which of the following demonstrates accountability?,Correcting mistakes promptly.,Hiding errors.,Ignoring buyer complaints.,Deleting transaction records.,A,2
Q0173,"If a buyer is uncertain about a contract clause, the agent should:",Encourage the buyer to understand the clause before signing.,Ask the buyer to ignore it.,Skip the discussion.,Tell the buyer it is unimportant.,A,2
Q0174,A real estate agent's credibility depends primarily on:,Ethical conduct and accurate information.,Expensive office furniture.,Social media followers.,Fancy advertisements.,A,2
Q0175,Which practice helps reduce complaints?,Clear communication from the beginning.,Delaying responses.,Giving incomplete information.,Making assumptions.,A,2
Q0176,Which is the best example of responsible marketing?,Advertising only verified project features.,Promising guaranteed appreciation.,Using misleading images.,Concealing project limitations.,A,2
Q0177,"When explaining payment schedules, an agent should:",Refer to the official documents and terms.,Create a new schedule.,Give verbal estimates only.,Ignore written agreements.,A,2
Q0178,A buyer asks whether the project is suitable for investment. The agent should:,Present factual information without guaranteeing returns.,Guarantee profit.,Promise price appreciation.,Assure zero risk.,A,2
Q0179,Which action best reflects integrity?,Correcting inaccurate information immediately.,Ignoring errors.,Hiding project changes.,Making false commitments.,A,2
Q0180,The long-term objective of a certified real estate agent should be:,Building a trustworthy and compliant professional practice.,Maximizing sales regardless of compliance.,Avoiding documentation.,Depending only on verbal commitments.,A,2
Q0181,"A real estate agent receives an inquiry for a project in another district. Before arranging a site visit, the first step should be:",Verify the project's current registration status and details,Book the site visit immediately,Ask the buyer to pay a token amount,Print marketing brochures,A,2
Q0182,"During a client meeting, the promoter announces a new amenity that is not reflected in the available project documents. The agent should:",Advertise the amenity immediately,Wait until the information is officially updated before presenting it as confirmed,Guarantee the amenity,Ignore the issue,B,2
Q0183,A buyer wants to compare two projects. The most appropriate approach is to:,Present factual information about both projects,Criticize the competing project without evidence,Hide the disadvantages of one project,Recommend the project with the highest commission,A,2
Q0184,Which of the following best demonstrates professional independence?,Giving objective advice based on verified facts,Following every marketing instruction without question,Making promises to increase bookings,Ignoring legal compliance,A,2
Q0185,An agent receives updated project documents after a buyer has already shown interest. The agent should:,Share the updated information promptly,Wait until possession,Ignore the updated documents,Keep the changes confidential,A,2
Q0186,"If a buyer requests clarification on maintenance charges, the agent should:",Refer to the available project documents and disclosed terms,Estimate an amount,Promise that charges will never increase,Avoid discussing the issue,A,2
Q0187,A buyer wants confirmation that a specific facility will be completed in Phase 1. The agent should:,Check the approved project disclosures before confirming,Assume it will be completed,Promise early completion,Ignore the question,A,2
Q0188,A professional real estate agent should keep knowledge updated because:,"Laws, rules, and regulatory requirements may change",Marketing never changes,Buyers never ask legal questions,It is only useful for promoters,A,2
Q0189,A buyer requests information in writing instead of verbally. The agent should:,Provide accurate written information where appropriate,Refuse the request,Ask the buyer to rely on memory,Avoid documentation,A,2
Q0190,Which action is most appropriate when an agent notices a discrepancy between a brochure and official project information?,Use the official information and seek correction of the brochure,Continue using the brochure,Ignore the discrepancy,Tell buyers both versions are correct,A,2
Q0191,"When handling buyer data, an agent should:",Maintain confidentiality and use it responsibly,Share it with unrelated parties,Publish it for marketing,Ignore privacy concerns,A,2
Q0192,Which practice is most likely to create long-term goodwill?,Honest after-sales support,Disappearing after booking,Ignoring buyer calls,Providing incomplete information,A,2
Q0193,A buyer asks whether an oral promise made during marketing is legally binding. The agent should:,Encourage reliance on written agreements and official documents,Say every oral promise is binding,Ignore the question,Give a personal opinion as legal advice,A,2
Q0194,Which of the following best demonstrates transparency during negotiations?,Explaining all known costs and conditions clearly,Hiding additional charges,Discussing only attractive features,Delaying important disclosures,A,2
Q0195,A real estate agent should verify project information:,Before each major marketing campaign if updates may have occurred,Only once at the beginning,Only after receiving complaints,Never,A,2
Q0196,"If a buyer asks for a copy of an official disclosure available through the project, the agent should:",Guide the buyer to the appropriate official source or provide it where permitted,Refuse without reason,Ask another buyer,Create a new document,A,2
Q0197,Which of the following best supports informed decision-making by buyers?,Complete and accurate information,High-pressure sales tactics,Time-limited false offers,Selective disclosure,A,2
Q0198,"If an agent discovers that a colleague has shared incorrect project information, the agent should:",Encourage correction using verified information,Ignore the situation,Repeat the same information,Continue marketing without changes,A,2
Q0199,The purpose of maintaining transaction-related records is to:,Support transparency and resolve future issues if needed,Increase advertising,Avoid meeting buyers,Reduce project costs,A,2
Q0200,A buyer asks whether a project has any pending litigation. The agent should:,Respond only with verified information available through appropriate sources,Guess the answer,"Say ""No"" without checking",Avoid the topic,A,2
Q0201,Which quality helps an agent build repeat business?,Reliability,Exaggeration,Misrepresentation,Concealment,A,2
Q0202,A buyer requests additional time to review documents. The agent should:,Respect the buyer's decision and provide reasonable assistance,Pressure the buyer to sign immediately,Withdraw the offer,Refuse to answer questions,A,2
Q0203,"If a promoter issues a revised payment schedule, the agent should:",Communicate the revised schedule accurately to prospective buyers,Continue using the old schedule,Ignore the change,Create a different schedule,A,2
Q0204,Which action demonstrates fairness in dealing with clients?,Providing equal access to verified information,Giving false information to selected buyers,Hiding important facts from first-time buyers,Charging undisclosed fees,A,2
Q0205,An agent should avoid creating:,Unrealistic expectations,Accurate brochures,Written records,Professional relationships,A,2
Q0206,A buyer asks for clarification about common areas. The agent should:,Explain using the approved plans and project documents,Guess the measurements,Ignore the request,Discuss unrelated topics,A,2
Q0207,The best source of information regarding project updates is:,Official project disclosures and updates,Social media rumors,Local gossip,Unverified messages,A,2
Q0208,A professional real estate agent should communicate with buyers in a manner that is:,"Clear, accurate, and respectful",Confusing,Aggressive,Misleading,A,2
Q0209,"Before recommending a property, an agent should understand:",The buyer's requirements and the verified project details,Only the commission amount,Only the location,Only the promoter's opinion,A,2
Q0210,The foundation of ethical real estate practice is:,"Honesty, compliance, and transparency",Pressure selling,Hidden conditions,Misleading advertisements,A,2
Q0211,"Under RERA, which stakeholder is primarily responsible for uploading project information on the RERA portal?",Real Estate Agent,Allottee,Promoter,Bank,C,2
Q0212,A registered real estate agent changes the business office address. The most appropriate action is to:,Inform the Authority as required under applicable rules,Continue business without updating records,Notify only existing customers,Update social media profiles only,A,2
Q0213,Which of the following documents is most useful for confirming the official completion schedule of a project?,Promotional leaflet,Official project registration disclosures,Television advertisement,Newspaper interview,B,2
Q0214,"A buyer asks about the difference between ""booking"" and ""registration of the property."" The agent should:",Explain that they are different legal stages in a property transaction,Say they are the same,Avoid answering,Ask the buyer to guess,A,2
Q0215,"If an advertisement contains outdated project information, the agent should:",Continue using it,Use only the latest verified information,Ignore buyer questions,Remove the registration number,B,2
Q0216,A buyer wants to know whether the project's approvals have been revised. The agent should:,Verify the latest official disclosures before responding,Estimate the answer,Say approvals never change,Avoid discussing approvals,A,2
Q0217,Which of the following best represents fair dealing?,Providing the same verified information to all prospective buyers,Offering different facts to different buyers,Concealing important conditions,Promising benefits that are not documented,A,2
Q0218,"A promoter requests the agent to advertise ""guaranteed possession in six months"" without documentary support. The agent should:",Publish the advertisement,Decline to make unsupported claims,Use the statement only on social media,Mention it verbally only,B,2
Q0219,"If a buyer asks for clarification on a technical construction issue beyond the agent's expertise, the agent should:",Provide a technical opinion,Refer the buyer to the appropriate qualified professional,Guess the answer,Ignore the question,B,2
